,GrowthRate,PopDensity,PopTotal,UNRegion,x,y
44,-0.01,8.76,143456918.0,Europe,99.12931099810767,61.66654421368212
45,2.56,49.82,32526562.0,Asia,66.00872625987301,33.84603256685915
46,3.18,20.07,25021974.0,Africa,17.562834332777665,-12.339703165621264
47,0.24,105.72,2896679.0,Europe,20.019160964756022,41.154221376060065
48,1.19,109.53,9156963.0,Asia,54.33528612961436,23.905266304416326
49,0.99,15.87,43416755.0,America,-65.19044772010778,-35.22554041508255
50,0.28,106.0,3017712.0,Asia,44.85416120859937,40.321846489600645
51,,,,,20.27456200222221,-80.55926724454746
52,1.41,3.12,23968973.0,Oceania,134.3559805214661,-25.57030808808593
53,1.17,118.0,9753968.0,Asia,47.66786068672423,40.319085140108136
54,3.29,435.32,11178921.0,Africa,29.93956543532196,-3.260363180333605
55,2.6,96.49,10879829.0,Africa,2.3285795414503987,9.628033169375621
56,2.88,66.18,18105570.0,Africa,-1.7757945751986295,12.24568937017592
57,1.18,1236.81,160995642.0,Asia,90.2170531479882,23.881396453395556
58,-0.73,65.86,7149787.0,Europe,25.24377880012411,42.77821142211338
59,-0.22,74.71,3810416.0,Europe,17.82544345505598,44.12190485983891
60,-0.15,46.8,9495826.0,Europe,27.966399474601847,53.530901597391285
61,2.11,15.75,359287.0,America,-88.71516463013825,17.13888977290024
62,1.51,9.9,10724705.0,America,-64.66889737583064,-16.71793285565199
63,0.82,24.87,207847528.0,America,-53.097983745145726,-10.784846862572628
64,1.33,80.3,423188.0,Asia,114.79654453570893,4.543830164977411
65,1.19,20.33,774830.0,Asia,90.39036827132499,27.41075869610089
66,1.81,3.99,2262485.0,Africa,23.786259025835765,-22.18531301236803
67,1.98,7.87,4900274.0,Africa,20.464149283346934,6.5546557345006615
68,1.02,24.14,17948141.0,America,-71.47239542550766,-36.47765242270196
69,2.41,71.39,22701556.0,Africa,-5.563264695415015,7.594905785933287
70,2.46,49.38,23344179.0,Africa,12.747506827686223,5.670105188146294
71,3.13,34.08,77266814.0,Africa,23.597005381644117,-2.8670275532156393
72,2.58,13.53,4620330.0,Africa,15.244346090862361,-0.8283130305620732
73,0.88,43.47,48228704.0,America,-73.0552536058683,3.9206083632510746
74,1.02,94.16,4807850.0,America,-84.12313994895635,9.94082630332057
75,0.03,107.01,11389562.0,America,-78.93064345777199,21.60164070893657
76,0.96,126.12,1165300.0,Asia,33.29773324227973,35.036768928307424
77,0.05,136.5,10543186.0,Europe,15.444328249447118,49.68761274067057
78,1.31,38.3,887861.0,Africa,42.60541697716873,11.765496933736916
79,1.14,217.89,10528391.0,America,-70.64869971986853,18.903621776272118
